bundle,workload,policy_mode,service_lifecycle_id,protocol_fingerprint,requests,completed,mean_ttft_ms,mean_latency_ms,request_throughput_rps,reused_tokens,recomputed_tokens
shared_session_continuation_maintenance/always_full_reuse/pilot_sequence_02,shared_session_continuation_maintenance,always_full_reuse,2026-08-03T06:44:06.607876Z-pid-2855408,7f230f7a615b0f0ad0a7a912eb09d435edc7de437f0febf305672b8fff6b24df,80,80,179.746,1984.7,1.994,24576,53564
shared_session_continuation_maintenance/always_recompute/pilot_sequence_03,shared_session_continuation_maintenance,always_recompute,2026-08-03T06:47:39.484378Z-pid-2858232,7f230f7a615b0f0ad0a7a912eb09d435edc7de437f0febf305672b8fff6b24df,80,80,206.747,2026.943,1.957,0,78140
shared_session_continuation_maintenance/controller/pilot_sequence_01,shared_session_continuation_maintenance,controller,2026-08-03T06:40:29.088901Z-pid-2851244,7f230f7a615b0f0ad0a7a912eb09d435edc7de437f0febf305672b8fff6b24df,80,80,304.799,2105.445,1.881,28672,49468
shared_shared_prefix_multi_tenant_assistant/always_full_reuse/pilot_sequence_06,shared_shared_prefix_multi_tenant_assistant,always_full_reuse,2026-08-03T06:58:17.592908Z-pid-2866127,07db155282285bbf3fcc8b0b9c8a4bba7bd983827a71c961cea81e2315b453b3,72,72,151.443,1955.892,1.976,55296,50952
shared_shared_prefix_multi_tenant_assistant/always_recompute/pilot_sequence_04,shared_shared_prefix_multi_tenant_assistant,always_recompute,2026-08-03T06:51:05.235116Z-pid-2860773,07db155282285bbf3fcc8b0b9c8a4bba7bd983827a71c961cea81e2315b453b3,72,72,274.357,2237.663,1.735,0,106248
shared_shared_prefix_multi_tenant_assistant/controller/pilot_sequence_05,shared_shared_prefix_multi_tenant_assistant,controller,2026-08-03T06:54:43.035294Z-pid-2863098,07db155282285bbf3fcc8b0b9c8a4bba7bd983827a71c961cea81e2315b453b3,72,72,145.91,1962.002,1.971,57856,48392
