bundle,workload,policy_mode,service_lifecycle_id,protocol_fingerprint,requests,completed,mean_ttft_ms,mean_latency_ms,request_throughput_rps,reused_tokens,recomputed_tokens
shared_rag_followup/always_full_reuse/pilot_sequence_02,shared_rag_followup,always_full_reuse,2026-08-03T09:58:49.184946Z-pid-3046106,ca3c801701173150e8a227763bed6caa550bf66b7de42a896414f49612ea98e6,64,64,223.599,1087.345,3.65,110592,61920
shared_rag_followup/always_recompute/pilot_sequence_03,shared_rag_followup,always_recompute,2026-08-03T10:02:16.153542Z-pid-3057375,ca3c801701173150e8a227763bed6caa550bf66b7de42a896414f49612ea98e6,64,64,464.841,1451.559,2.739,0,172512
shared_rag_followup/controller/pilot_sequence_01,shared_rag_followup,controller,2026-08-03T09:55:44.431888Z-pid-3035065,ca3c801701173150e8a227763bed6caa550bf66b7de42a896414f49612ea98e6,64,64,312.826,1174.947,3.379,81920,90592
shared_realtime_voice_assistant/always_full_reuse/pilot_sequence_06,shared_realtime_voice_assistant,always_full_reuse,2026-08-03T10:11:16.208332Z-pid-3088446,3218a5ed74eb075b4fad4072652e67bd721558cc7257478150a41b7ecc35710b,64,64,156.75,1325.517,2.992,43008,32676
shared_realtime_voice_assistant/always_recompute/pilot_sequence_04,shared_realtime_voice_assistant,always_recompute,2026-08-03T10:05:15.203490Z-pid-3067671,3218a5ed74eb075b4fad4072652e67bd721558cc7257478150a41b7ecc35710b,64,64,219.384,1454.299,2.734,0,75684
shared_realtime_voice_assistant/controller/pilot_sequence_05,shared_realtime_voice_assistant,controller,2026-08-03T10:08:17.584930Z-pid-3078470,3218a5ed74eb075b4fad4072652e67bd721558cc7257478150a41b7ecc35710b,64,64,193.294,1365.285,2.904,32768,42916
