workload,best_fixed_ttft_policy,controller_vs_best_fixed_ttft_pct,controller_vs_best_fixed_e2e_pct,controller_vs_best_fixed_throughput_pct,promotion
shared_rag_followup,always_full_reuse,39.904919,8.056505,-7.424658,False
shared_realtime_voice_assistant,always_full_reuse,23.313557,3.000188,-2.941176,False
