workload,seam,condition,runs,mean_ttft_ms_median,mean_ttft_ms_q1,mean_ttft_ms_q3,mean_ttft_ms_iqr,p95_ttft_ms_median,p95_ttft_ms_q1,p95_ttft_ms_q3,p95_ttft_ms_iqr,mean_latency_ms_median,mean_latency_ms_q1,mean_latency_ms_q3,mean_latency_ms_iqr,p95_latency_ms_median,p95_latency_ms_q1,p95_latency_ms_q3,p95_latency_ms_iqr,request_throughput_rps_median,request_throughput_rps_q1,request_throughput_rps_q3,request_throughput_rps_iqr,output_throughput_toks_median,output_throughput_toks_q1,output_throughput_toks_q3,output_throughput_toks_iqr,applied_recompute_median,applied_recompute_q1,applied_recompute_q3,applied_recompute_iqr,applied_partial_reuse_median,applied_partial_reuse_q1,applied_partial_reuse_q3,applied_partial_reuse_iqr,applied_full_reuse_median,applied_full_reuse_q1,applied_full_reuse_q3,applied_full_reuse_iqr,realized_recompute_median,realized_recompute_q1,realized_recompute_q3,realized_recompute_iqr,realized_partial_reuse_median,realized_partial_reuse_q1,realized_partial_reuse_q3,realized_partial_reuse_iqr,realized_full_reuse_median,realized_full_reuse_q1,realized_full_reuse_q3,realized_full_reuse_iqr
dynamic_rag_corpus_update,segmented,tuned,3,407.102,405.675,412.536,6.861,693.172,680.559,701.466,20.907,1799.752,1798.526,1802.017,3.491,2062.017,2061.729,2063.967,2.238,2.202,2.199,2.203,0.004,158.551,158.347,158.635,0.288,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,24.0,24.0,24.0,0.0,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0
shared_scenario_multi_turn_knowledge_service,old,baseline,3,170.956,168.149,171.385,3.236,243.535,241.997,246.156,4.159,1199.63,1192.646,1202.302,9.656,1304.568,1304.327,1310.55,6.223,3.295,3.288,3.314,0.026,210.883,210.423,212.107,1.683,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0
shared_scenario_multi_turn_knowledge_service,old,tuned,3,153.58,153.241,156.462,3.221,238.606,229.462,240.13,10.668,1186.029,1182.282,1187.172,4.89,1304.439,1293.499,1310.543,17.045,3.333,3.329,3.343,0.014,213.336,213.062,213.953,0.891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,32.0,0.0,8.0,8.0,8.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0
shared_scenario_multi_turn_knowledge_service,segmented,baseline,3,165.213,164.854,169.859,5.005,231.096,229.534,250.822,21.288,1195.871,1189.014,1197.095,8.081,1286.777,1265.809,1307.091,41.282,3.3,3.298,3.322,0.024,211.221,211.093,212.61,1.518,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0
shared_scenario_multi_turn_knowledge_service,segmented,tuned,3,167.737,164.642,168.087,3.445,245.701,235.353,252.568,17.215,1187.498,1183.946,1192.818,8.872,1300.978,1286.549,1304.605,18.056,3.328,3.313,3.337,0.024,213.006,212.067,213.617,1.55,0.0,0.0,0.0,0.0,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,8.0,8.0,8.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0
shared_tool_scaffold_agent,old,baseline,3,147.322,145.56,147.787,2.227,184.47,183.519,190.109,6.59,2177.028,2174.589,2185.236,10.647,2235.214,2223.39,2249.4,26.01,1.812,1.805,1.813,0.008,231.924,231.105,232.121,1.016,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0
shared_tool_scaffold_agent,old,tuned,3,146.947,145.525,147.026,1.501,183.631,183.462,187.287,3.826,2177.156,2171.833,2182.19,10.357,2230.863,2222.202,2231.36,9.158,1.812,1.808,1.817,0.008,231.908,231.409,232.486,1.076,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0
shared_tool_scaffold_agent,segmented,baseline,3,149.218,148.645,151.447,2.802,188.672,186.413,207.738,21.325,2197.983,2188.945,2198.329,9.384,2240.84,2231.117,2276.823,45.706,1.794,1.794,1.802,0.008,229.685,229.666,230.697,1.031,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0
shared_tool_scaffold_agent,segmented,tuned,3,149.093,146.19,150.266,4.076,184.354,184.159,196.241,12.082,2189.768,2182.434,2210.345,27.912,2231.386,2227.93,2271.635,43.704,1.802,1.785,1.808,0.023,230.678,228.536,231.423,2.887,8.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0
