bundle,workload,policy_mode,service_lifecycle_id,protocol_fingerprint,requests,completed,mean_ttft_ms,mean_latency_ms,request_throughput_rps,reused_tokens,recomputed_tokens
shared_async_document_pipeline/always_full_reuse/pilot_sequence_02,shared_async_document_pipeline,always_full_reuse,2026-08-03T06:17:11.974790Z-pid-2823793,7ecbc34644a1fbde372588c4a44762ac6a5d6cf33517fdc42c0cab551225a4a1,80,80,137.34,1673.109,2.367,48640,30120
shared_async_document_pipeline/always_recompute/pilot_sequence_03,shared_async_document_pipeline,always_recompute,2026-08-03T06:20:40.478749Z-pid-2828024,7ecbc34644a1fbde372588c4a44762ac6a5d6cf33517fdc42c0cab551225a4a1,80,80,210.311,1779.09,2.231,0,78760
shared_async_document_pipeline/controller/pilot_sequence_01,shared_async_document_pipeline,controller,2026-08-03T06:13:37.454019Z-pid-2819294,7ecbc34644a1fbde372588c4a44762ac6a5d6cf33517fdc42c0cab551225a4a1,80,80,157.557,1705.004,2.326,35840,42920
shared_public_sharegpt_boundary/always_full_reuse/pilot_sequence_06,shared_public_sharegpt_boundary,always_full_reuse,2026-08-03T06:30:35.634079Z-pid-2839320,995abab5e2f7d515e5f9e815d4ab86c5e90c3ad1df800772dc5de298a77d67a2,32,32,225.172,1340.033,2.936,86400,24229
shared_public_sharegpt_boundary/always_recompute/pilot_sequence_04,shared_public_sharegpt_boundary,always_recompute,2026-08-03T06:24:10.973161Z-pid-2832053,995abab5e2f7d515e5f9e815d4ab86c5e90c3ad1df800772dc5de298a77d67a2,32,32,511.203,1894.111,2.084,0,110629
shared_public_sharegpt_boundary/controller/pilot_sequence_05,shared_public_sharegpt_boundary,controller,2026-08-03T06:27:17.703727Z-pid-2835420,995abab5e2f7d515e5f9e815d4ab86c5e90c3ad1df800772dc5de298a77d67a2,32,32,519.928,1818.236,2.184,13312,97317
