workload,seam,condition,runs,mean_ttft_ms_median,mean_ttft_ms_q1,mean_ttft_ms_q3,mean_ttft_ms_iqr,p95_ttft_ms_median,p95_ttft_ms_q1,p95_ttft_ms_q3,p95_ttft_ms_iqr,mean_latency_ms_median,mean_latency_ms_q1,mean_latency_ms_q3,mean_latency_ms_iqr,p95_latency_ms_median,p95_latency_ms_q1,p95_latency_ms_q3,p95_latency_ms_iqr,request_throughput_rps_median,request_throughput_rps_q1,request_throughput_rps_q3,request_throughput_rps_iqr,output_throughput_toks_median,output_throughput_toks_q1,output_throughput_toks_q3,output_throughput_toks_iqr
dynamic_rag_corpus_update,segmented,tuned,3,407.658,407.588,589.273,181.685,688.542,688.242,727.189,38.947,1769.644,1767.946,2132.316,364.37,2027.679,2024.279,4781.377,2757.098,2.239,1.916,2.241,0.325,161.203,137.933,161.363,23.43
shared_scenario_multi_turn_knowledge_service,old,baseline,3,158.219,157.67,158.418,0.748,217.673,217.168,218.601,1.433,1165.272,1164.626,1165.822,1.195,1232.771,1229.122,1233.991,4.869,3.393,3.389,3.393,0.004,217.128,216.927,217.16,0.233
shared_scenario_multi_turn_knowledge_service,old,tuned,3,148.882,147.55,149.086,1.536,219.556,218.444,223.288,4.845,1153.168,1152.891,1153.518,0.627,1242.517,1239.21,1248.774,9.563,3.425,3.423,3.426,0.003,219.229,219.12,219.303,0.183
shared_scenario_multi_turn_knowledge_service,segmented,baseline,3,155.647,155.606,157.501,1.895,220.761,218.121,221.444,3.323,1167.604,1166.231,1170.042,3.81,1241.002,1235.587,1242.751,7.164,3.382,3.377,3.387,0.01,216.462,216.102,216.776,0.674
shared_scenario_multi_turn_knowledge_service,segmented,tuned,3,153.341,151.25,156.417,5.167,221.216,220.957,223.462,2.505,1159.468,1156.53,1164.365,7.835,1235.296,1233.375,1238.69,5.315,3.407,3.393,3.417,0.024,218.05,217.144,218.668,1.524
shared_tool_scaffold_agent,old,baseline,3,143.023,141.363,144.462,3.099,183.59,182.779,183.993,1.213,2158.511,2154.995,2161.658,6.663,2203.712,2200.745,2207.555,6.811,1.827,1.825,1.83,0.005,233.894,233.592,234.253,0.661
shared_tool_scaffold_agent,old,tuned,3,141.478,140.452,143.613,3.161,180.735,180.127,182.875,2.748,2153.362,2152.342,2155.13,2.788,2199.845,2197.752,2206.134,8.382,1.833,1.831,1.833,0.002,234.577,234.293,234.62,0.328
shared_tool_scaffold_agent,segmented,baseline,3,141.246,140.455,141.952,1.497,184.759,182.752,185.482,2.73,2155.772,2152.467,2158.385,5.918,2196.196,2194.358,2201.355,6.997,1.829,1.827,1.832,0.005,234.173,233.916,234.547,0.631
shared_tool_scaffold_agent,segmented,tuned,3,142.484,141.919,143.183,1.263,179.899,179.74,183.171,3.43,2162.147,2158.403,2162.894,4.491,2194.12,2192.929,2199.401,6.472,1.824,1.824,1.827,0.003,233.527,233.461,233.916,0.454
