bundle,workload,policy_mode,service_lifecycle_id,protocol_fingerprint,requests,completed,mean_ttft_ms,mean_latency_ms,request_throughput_rps,reused_tokens,recomputed_tokens
shared_session_affine_bursty/always_full_reuse/pilot_sequence_02,shared_session_affine_bursty,always_full_reuse,2026-08-03T09:58:59.810642Z-pid-3046580,331830d697ce71d265bbe54ce3bddb471cc1c2acf8b80e9e6564e1cf4af658c7,64,64,195.921,2264.96,1.748,15360,47650
shared_session_affine_bursty/always_recompute/pilot_sequence_03,shared_session_affine_bursty,always_recompute,2026-08-03T10:02:24.715150Z-pid-3058011,331830d697ce71d265bbe54ce3bddb471cc1c2acf8b80e9e6564e1cf4af658c7,64,64,216.169,2290.108,1.732,0,63010
shared_session_affine_bursty/controller/pilot_sequence_01,shared_session_affine_bursty,controller,2026-08-03T09:55:43.234308Z-pid-3034775,331830d697ce71d265bbe54ce3bddb471cc1c2acf8b80e9e6564e1cf4af658c7,64,64,198.168,2263.126,1.751,11264,51746
shared_simulation_analysis_verification/always_full_reuse/pilot_sequence_06,shared_simulation_analysis_verification,always_full_reuse,2026-08-03T10:12:15.285963Z-pid-3091622,d17379f3ba5d77f5f6c1d781173021d08403eb6361ecb1ae9251d76f5b44d9ac,64,64,205.092,2288.906,1.731,18432,54668
shared_simulation_analysis_verification/always_recompute/pilot_sequence_04,shared_simulation_analysis_verification,always_recompute,2026-08-03T10:05:42.786831Z-pid-3069028,d17379f3ba5d77f5f6c1d781173021d08403eb6361ecb1ae9251d76f5b44d9ac,64,64,229.296,2325.294,1.706,0,73100
shared_simulation_analysis_verification/controller/pilot_sequence_05,shared_simulation_analysis_verification,controller,2026-08-03T10:08:58.969495Z-pid-3080277,d17379f3ba5d77f5f6c1d781173021d08403eb6361ecb1ae9251d76f5b44d9ac,64,64,209.611,2301.527,1.722,14336,58764
