workload,seam,condition,runs,mean_ttft_ms_median,mean_ttft_ms_q1,mean_ttft_ms_q3,mean_ttft_ms_iqr,p95_ttft_ms_median,p95_ttft_ms_q1,p95_ttft_ms_q3,p95_ttft_ms_iqr,mean_latency_ms_median,mean_latency_ms_q1,mean_latency_ms_q3,mean_latency_ms_iqr,p95_latency_ms_median,p95_latency_ms_q1,p95_latency_ms_q3,p95_latency_ms_iqr,request_throughput_rps_median,request_throughput_rps_q1,request_throughput_rps_q3,request_throughput_rps_iqr,output_throughput_toks_median,output_throughput_toks_q1,output_throughput_toks_q3,output_throughput_toks_iqr
dynamic_rag_corpus_update,segmented,tuned,3,415.467,414.575,417.235,2.66,710.51,702.106,713.318,11.212,1804.13,1802.716,1804.707,1.991,2077.108,2074.489,2092.413,17.924,2.197,2.195,2.199,0.004,158.171,158.016,158.288,0.273
shared_scenario_multi_turn_knowledge_service,old,baseline,3,160.812,160.276,160.919,0.643,224.061,223.827,225.689,1.861,1176.164,1173.164,1177.723,4.559,1241.627,1239.367,1260.525,21.159,3.361,3.356,3.37,0.014,215.087,214.775,215.623,0.848
shared_scenario_multi_turn_knowledge_service,old,tuned,3,151.737,150.447,151.838,1.391,223.094,221.208,224.302,3.094,1157.028,1155.119,1157.707,2.588,1238.775,1238.21,1239.495,1.285,3.416,3.413,3.421,0.008,218.622,218.447,218.983,0.536
shared_scenario_multi_turn_knowledge_service,segmented,baseline,3,159.129,158.296,159.274,0.978,221.851,219.341,222.702,3.361,1170.405,1169.101,1171.015,1.914,1234.837,1234.647,1239.988,5.341,3.377,3.375,3.38,0.005,216.159,216.062,216.364,0.301
shared_scenario_multi_turn_knowledge_service,segmented,tuned,3,156.269,156.028,163.552,7.524,225.764,221.964,233.868,11.904,1165.671,1165.526,1174.314,8.788,1251.33,1242.578,1258.838,16.26,3.389,3.365,3.39,0.025,216.921,215.373,216.983,1.609
shared_tool_scaffold_agent,old,baseline,3,147.224,145.194,147.98,2.786,186.939,186.467,189.481,3.014,2173.18,2167.198,2180.019,12.822,2227.828,2224.51,2249.832,25.322,1.815,1.809,1.82,0.01,232.352,231.654,232.987,1.334
shared_tool_scaffold_agent,old,tuned,3,146.933,145.825,148.133,2.308,183.495,182.379,185.606,3.227,2208.518,2206.254,2211.849,5.595,2295.025,2278.396,2331.046,52.65,1.787,1.784,1.788,0.005,228.763,228.387,228.957,0.57
shared_tool_scaffold_agent,segmented,baseline,3,147.241,146.32,147.44,1.12,184.527,184.233,186.483,2.25,2176.522,2171.957,2197.438,25.481,2229.752,2225.01,2254.205,29.195,1.813,1.796,1.817,0.021,232.07,229.856,232.542,2.686
shared_tool_scaffold_agent,segmented,tuned,3,144.695,142.348,145.73,3.382,186.367,183.33,196.233,12.903,2181.972,2169.32,2185.771,16.451,2232.966,2221.213,2255.918,34.705,1.808,1.805,1.819,0.014,231.388,231.02,232.805,1.784
