workload,best_fixed_ttft_policy,controller_vs_best_fixed_ttft_pct,controller_vs_best_fixed_e2e_pct,controller_vs_best_fixed_throughput_pct,promotion
shared_dynamic_rag_corpus_update,always_full_reuse,24.671161,6.283375,-5.877378,False
shared_long_context_doc_analysis,always_full_reuse,-2.418745,1.257445,-1.173798,True
