bundle,workload,policy_mode,service_lifecycle_id,protocol_fingerprint,requests,completed,mean_ttft_ms,mean_latency_ms,request_throughput_rps,reused_tokens,recomputed_tokens
shared_dynamic_rag_corpus_update/always_full_reuse/pilot_sequence_06,shared_dynamic_rag_corpus_update,always_full_reuse,2026-08-03T10:12:09.763393Z-pid-3091378,a5f6b028257987d8592c6e3967ae2ec0252219e034aeffc7581146118e4a5c69,64,64,328.124,1679.575,2.365,86016,110884
shared_dynamic_rag_corpus_update/always_recompute/pilot_sequence_04,shared_dynamic_rag_corpus_update,always_recompute,2026-08-03T10:05:46.364609Z-pid-3069224,a5f6b028257987d8592c6e3967ae2ec0252219e034aeffc7581146118e4a5c69,64,64,502.187,1934.072,2.056,0,196900
shared_dynamic_rag_corpus_update/controller/pilot_sequence_05,shared_dynamic_rag_corpus_update,controller,2026-08-03T10:08:59.253324Z-pid-3080283,a5f6b028257987d8592c6e3967ae2ec0252219e034aeffc7581146118e4a5c69,64,64,409.076,1785.109,2.226,53248,143652
shared_long_context_doc_analysis/always_full_reuse/pilot_sequence_02,shared_long_context_doc_analysis,always_full_reuse,2026-08-03T09:59:04.185128Z-pid-3046946,201a25d122a958d8c023fe4bbf5fb26d893248d57fce669a8412064425c4107d,48,48,293.458,1501.06,2.641,152064,65026
shared_long_context_doc_analysis/always_recompute/pilot_sequence_03,shared_long_context_doc_analysis,always_recompute,2026-08-03T10:02:26.065011Z-pid-3058057,201a25d122a958d8c023fe4bbf5fb26d893248d57fce669a8412064425c4107d,48,48,673.077,2192.745,1.811,0,217090
shared_long_context_doc_analysis/controller/pilot_sequence_01,shared_long_context_doc_analysis,controller,2026-08-03T09:55:45.587082Z-pid-3035371,201a25d122a958d8c023fe4bbf5fb26d893248d57fce669a8412064425c4107d,48,48,286.36,1519.935,2.61,145664,71426
